Date,Time,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,CumulativeDeaths,Ground,Summary
3/20/1955,22:36,"Springfield, Mississippi",American Airlines,711,Newark - Chicago - St. Louis - Springfield - Tulsa,Convair CV-240-0,N94234,66,35,13,1053,0,The plane crashed 1.25 miles short of the runway while attempting to land. Crew's inattention to flight instruments during approach. Pilot sensory illusion which gave a  false impression of the aircraft's altitude.
4/4/1955,15:55,"Islip, New York",United Air Lines,,Training,Douglas DC-6,N37512,43001/32,3,3,1056,0,"Suddenly dove into the ground. Unintentional movement of no.4 throttle into the reverse range just before breaking ground, with the other three engines operating at high power output, which resulted in the aircraft very quickly becoming uncontrollable once airborne."
8/4/1955,12:23,"Fort Leonard Wood, Missouri",American Airlines,,"Springfield, IL - St. Louis, MO",Convair CV-240-0,N94221,40,30,30,1086,0,The aircraft attempted an emergency landing at a military airstrip after fire broke out in the No. 2 engine. The right wing separated from the aircraft and crashed 1.5 miles from the runway. Installation of an unairworthy cylinder in the No. 2 engine which resulted in an uncontrollable fire and loss of the right wing.
9/17/1955,,"Near Thorhild, Canada",PacifiWestern Airlines,,"Edmonton, AB - Yellowknife, NT",Bristol 170 Freighter 31,CF-GBT,12831,6,2,1088,0,"For reasons undetermined, the right engine failed and as a result of being overloaded, the aircraft did not maintain altitude on one engine and struck the ground with the right wingtip. A possible contributing factor was the failure of the co-pilot's vacuum-driven gyro instruments, without his knowledge."
10/6/1955,7:26,"Near Centennial, Wyoming",United Air Lines,409,Denver - Salt Lake City - San Francisco,Douglas DC-4,N30062,18389,66,66,1154,0,"The aircraft crashed into cloud covered Medicine Bow Peak while en route. The plane failed to clear the 12,013 ft. peak by 75 feet. The pilot deviated from course for reasons unknown.  Possible incapacitation of crew by carbon monoxide emanating from a faulty cabin heater, though never proven."
11/1/1955,19:03,"Longmont, Colorado",United Air Lines,629,Denver - Portland,Douglas DC-6B,N37559,43538,44,44,1198,0,"The aircraft crashed 11 minutes after taking off from Denver Stapleton Airport, 8 miles east of Longmont.  Detonation of a dynamite bomb in the No. 4 cargo hold, placed by John (Jack) Gilbert Graham in his mother's luggage in order to collect $37,500 in insurance.  A delayed flight caused the bomb to detonate over flat land rather than the mountains as planned.  Graham never showed any remorse for his actions and refused to file any appeals. He was executed for the crime on 1/11/56."
4/1/1956,19:20,"Pittsburgh, Pennsylvania",Trans World Airlines,400,Pittsburgh - Newark,Martin 404,N40403,14103,36,22,1220,0,"The aircraft yawed to the left and crashed shortly after takeoff after a fire warning occurred on the No.1 engine. The cause of the fire warning was a failed exhaust connector clamp in the left engine, which triggered an adjacent fire detecting unit. A windmilling left propeller, the extended landing gear, and the takeoff flaps produced sufficient drag to make the airplane lose altitude and strike the ground. An uncoordinated emergency action in a very short time available to the crew, which produced an aircraft configuration with insurmountable drag."
9/9/1956,,"Bartlesville, Oklahoma",Continental Airlines,,,Douglas DC-3 / Cessna 170B,N33315 / N8143A,4978 / 20995,18,0,1220,0,Midair collision. Both planes landed safely. Failure of both aircraft to observe and avoid the other aircraft.
10/2/1956,18:25,"Near Nome, Alaska",Alaska Airlines,701,Unalakleet and Nome,Stinson AT-19,N 79069,FK-975,5,5,1225,0,Crashed while en route. The action of the pilot in flying into conditions of darkness and adverse weather in which he could not maintain adequate control of the aircraft.
1/6/1957,0:01,"Owasso, Oklahoma",American Airlines,327,Joplin - Owasso,Convair CV-240-0,N94247,104,10,1,1226,0,"Struck trees, hit the ground, and slid 500 ft. after landing short of the runway in rapidly deteriorating condtions.  The captain's lack of alertness in allowing the first officer to continue an instrument descent to an altitude too low to permit terrain clearance."
2/1/1957,18:02,"New York, New York",Northeast Airlines,823,New York City - Miami,Douglas DC-6A,N34954,44678/543,101,21,1247,0,"Shortly after lifting off from La Guardia Airport in a snowstorm, the plane rolled sharply to the left and crashed on Rikers Island. The failure of the captain to properly observe and interpret his flight instruments and maintain control of his aircraft. Several inmates from the Rikers Island Prison made some heroirescues and were later pardoned."
3/2/1957,17:19,"Blyn, Washington",Alaska Airlines,100,Fairbanks - Seattle,Douglas C-54B,N90449,27239,5,5,1252,0,"Crashed into a densly wooded mountain, 3 miles east of Blyn, while en route to Seattle. Navigation error and poor judgement by the pilot in entering an overcast mountainous area at too low an altitude."
9/15/1957,20:46,"New Bedford, Massachusett",Northeast Airlines,285,Martha's Vineyard - New Bedford,Douglas DC-3,N33417,7337,24,12,1264,0,The aircraft struck trees to the right and short of the runway during approach in fog. The pilot attempted to make a visual approach by descending prematurely in the approach area without adherence to the prescribed ILS approach procedure which was dictated by existing weather conditions.
8/15/1958,,"Nantucket, Massachusett",Northeast Airlines,258,New York City - Nantucket,Convair CV-240-2,N90670,90,34,24,1288,0,"The aircraft crashed 1,450 feet short of the runway while on approach. Poor judgement and technique by the pilot during approach in poor weather conditions."
1/8/1959,20:32,"Mt. Holston, Tennessee",Southeast Airlines,308,Nashville - Knoxville - Tri-City Aport,Douglas DC-3,N18941,2007,10,10,1298,0,"The aircraft struck a mountain during an ILS approach to Tri-City Airport. Pilot's failure to identify an intersection properly, resulting in flying 15 miles beyond the outer marker and descending to an alititude too low to clear high terrain. An inoperative compass was not entered into the aircraft log."
2/3/1959,23:56,"La Guardia Airport, New York, NY",American Airlines,320,Chicago - New York City,Lockheed  188A Electra,N6101A,1015,73,65,1363,0,"While attempting to land in rain and fog at La Guardia Airport, the aircraft descended below the minimum altitude and crashed into the East River. The aircraft struck the water while in shallow descent at 150 mph with its landing gear and flaps extended. Primarily the crash resulted from the failure of the crew to properly monitor essential instruments for determining attitude due to preoccupation with particular aspects of the aircraft and its environment. Limited experience of the crew with this particular type of aircraft. Erroneous setting of the captain's altimeter. Possibly misinterpretation of the altimeter and rate of descent indicator."
8/15/1959,16:42,"Calverton, New York",American Airlines,514,Training,Boeing 707-123,N7514A,17641/36,5,5,1368,0,The crew failed to recognize and correct the development of excessive yaw which caused an unintentional rolling maneuver at an altitude too low to permit complete recovery.
10/26/1959,20:18,"Santa Maria, California",PacifiAir Lines,308,Los Angeles - Oxnard - Santa Maria - Paso Robles,Douglas C-47A-DL,N67589,19656,19,1,1369,1,"Moments after rotation the left engine exploded and caught fire. The elevator of the plane hit a 12,000 volt powerline and crash landed upright sliding 65 feet. The only fatality was the first officer who was thrown clear of the accident still strapped to his seat. The number 5 cylinder of the left engine failed leading to an explosion that deformed the left engine's ring cowl to a degree that cause excessive drag and buffeting that made sustained flight impossible. Maintenance records showed the engine had a troubling number of oil leaks."
11/24/1959,5:35,"Chicago, Illinois",Trans World Airlines,595,Chicago - Los Angeles,Lockheed L-1049H Super Constellation,N102R,4824,3,3,1372,8,"Shortly after taking off the plane experienced a fire warning in the No. 2 engine, shut it down and attempted to return to Midway Airport. During the final approach the aircraft banked in excess of 45 degrees and developed an excessive sink rate. When the aircraft reached the tops of trees its wings were nearly level and its nose was raised in a climbing attitude but the descent continued and the plane crashed one quarter of a mile southeast of the airport. The accident was the consequence of manuvering the aircraft during the turn to final approach in such a manner as to cause a rate of sink from which recovery was not possible. Sometime during the turn the flaps were retracted from 60% to 24% causing a loss of lift."
5/23/1960,11:52,"Atlanta, Georgia",Delta Air Lines,,Training,Convair CV-880,N8804E,22-00-16,4,4,1376,0,"The aircraft stalled for reasons undetermined, at an altitude too low to effect recovery."
6/14/1960,4:47,"Mt. Gilbert, Alaska",PacifiNorthern Airlines,201,Cordova - Anchorage,Lockheed 749A-79-32 Constellation,N1554V,2555,14,14,1390,0,"The aircraft failed to maintain its intended flight path and  crashed into the face of Mt. Gilbert at 9,646 ft. after taking off from Cordova. The crew's failure to use all available  navigational aids in establishing the aircraft's position on Amber I Airway thereby allowing the aircraft  to proceed off course over dangerous terrain. A contributing factor to the  accident was the failure of air defense radar, which had been tracking the aircraft, to notify either  ARTCC or the crew that the aircraft was proceeding on a dangerous course."
1/28/1961,12'20,"Off Montauk Point, New York",American Airlines,,Training,Boeing 707-123,N7502A,17629/8,6,6,1396,0,Crashed into the AtlantiOcean and exploded.
7/11/1961,11:36,"Denver, Colorado",United Air Lines,859,Omaha - Denver,McDonnell Douglas DC-8-12,N8040U,45307,122,17,1413,1,"Following takeoff from Omaha, hydraulidifficulties were experienced. The flight was continued to Denver where the aircraft experienced asymmetrical reverse thrust while landing and crashed into a maintenance truck and burned. Asymmetrical thrust during the landing attempt due to a hydrauliemergency.  Numbers 1 & 2 thrust reversers failed.  The crew failed to activate the back-up high-pressure air bottle used to hold the reverse ejectors in the extended position during a hydrauliemergency.  Poor evacuation procedures.  A contributing factor was the  failure of the first officer to monitor the thrust reverse indicator lights when applying reverse thrust and the crew's lack of training and knowledge on the aircraft's hydraulisystem. The driver of the maintenance truck was killed."
7/21/1961,2:11,"Shemya, Alaska",Alaska Airlines,,Seattle - Shemya AFB,Douglas DC-6A,N6118C,45243/919,6,6,1419,0,"Undershot the runway by 200 feet, crashed and burned. Absence of approach and runway lights. Lack of guidance from air trafficontroller during last stages of flight."
9/1/1961,2:05,"Near Hinsdale, Illinois",Trans World Airlines,529,Chicago - Las Vegas,Lockheed 049 Constellation,N86511,2035,78,78,1497,0,The aircraft crashed and burned in a field 10 miles west of Midway Airport. The airliner had taken off from Midway headed for Las Vegas. Loss of a 5/16 inch steel bolt from the elevator boost system which caused the elevator to move to its full upward position creating a stall and loss of control of the aircraft.
12/24/1961,10:50,"Old Harbor, Kodiak Island, Alaska",Kodiak Airways,,Old Harbor - Kaguyak,Grumman G-21A Goose,N1503V,1020,5,1,1498,0,
3/1/1962,10:09,"Jamaica Bay, New York, New York",American Airlines,1,New York City - Los Angeles,Boeing B-707-123B,N7506A,17633/12,95,95,1593,0,"After taking off from Idlewild Airport and reaching a height of 1,500 feet, the aircraft made a left turn but continued to roll until it was inverted and crashed into Jamaica Bay approximately 3 miles southwest of the control tower. A rudder control malfunction which caused  a full unwanted rudder deployment, yaw, sideslip and roll which led to loss of control of the aircraft. This was caused by the use of an improper tool at the manufacturing plant to wrap the rudder servo unit's wiring, damaging the wires and leading to a short circuit. There is speculation that the accident was actually caused by the captain putting the aircraft in a steep 45 degree bank which resulted in the loss of control of the aircraft."
5/22/1962,21:21,"Near Unionville, Missouri",Continental Airlines,11,"Chicago - Kansas City, MO",Boeing B-707-124,N70775,17611/49,45,45,1638,0,"While en route from Chicago to Kansas City the airliner fell from FL 390 and crashed 6 miles north-northwest of Unionville, Missouri after an explosion aboard caused separation of the tail section. Detonation of a dynamite bomb in the right rear lavatory in the towel bin under the wash basin. This is the first case of sabotage on a commercial jet airliner. The bomb was believed to have been carried aboard by a passenger in a suicide-for-insurance plot."
11/23/1962,12:24,"Ellicott, Maryland",United Air Lines,297,Newark - Washington D.C.,Vickers Viscount 745D,N7430,128,18,18,1656,0,"The aircraft penetrated a flock of Whistling Swans at 6,000 ft. One, estimated to be 13 pounds, struck the leading edge of the left horizontal stabilizer, weakening the structure and causing it to detach. The aircraft lost control and broke-up in mid-air and crashed. Bird collision."
1/29/1963,22:44,"Kansas City, Missouri",Continental Airlines,290,"Midland, TX - Kansas City, MO",Vickers Viscount 812,N242V,356,8,8,1664,0,"While making a straight in approach, the aircraft continued flying over the runway to the south end and while at a height of 90 feet, suddenly pitched down and struck the ground. Icing of the horizontal stabilizer which led to loss of pitch control."
10/14/1963,11:33,"Jamaica, New York",New York Airways,600,Idlewild - Newark,Boeing Vetrol 107 II helicopter,N6673D,3,6,6,1670,0,The helicopter crashed to the ground and burned. Fatigue failure of the drive quill shaft due to contamination of the lubrication system in the aft transmission assembly.
3/12/1964,20:50,"Miles City, Montana",Frontier Airlines,32,Billings - Miles City - Glendive - Sidney,Douglas DC-3C,N61442,9642,5,5,1675,0,"Struck a ridge while approaching Miles City in sleet and freezing rain while on a VOR instrument approach. The descent below obstructing terrain, for reasons undetermined, during an instrument approach in adverse weather conditions."
5/7/1964,6:49,"San Ramon, California",PacifiAir Lines,773,Stockton - San Fransisco,Fairchild F-27A,N2770R,36,44,44,1719,0,"The aircraft went into a steep dive and crashed 26 miles from it destinatiion of San Francisco Internatiional Airport. The last message which had to be obtained through laboratory analysis was 'Skipper's shot.  We've been shot.  I was trying to help.'  Francisco Gonzales, a passenger, who had told several people he was going to kill himself, shot both the pilot and co-pilot. Gonzales, 27, a former member of the Philippine yachting team at the 1960 Olympics, had purchased life insurance policies totaling $105,000 prior to the flight."
7/8/1964,12:10,"Knoxville, Tennessee",United Air Lines,,,Caravelle VIR,N1007U,92,53,1,1720,0,"While climbing to cruise altitude the plane hit turbulence, downdrafts and updrafts. One passenger's seat belt  failed, killing the passenger."
11/23/1964,13:09,"Rome, Italy",Trans World Airlines,800,Rome - Athens,Boeing B-707-331,N769TW,17685/123,73,50,1770,0,The captain decided to abort the takeoff after the No. 4 engine pressure ratio read zero thrust and the amber warning light indicating thrust reversal of No. 2 engine came on. The speed was below V1. The aircraft continued to travel past the runway limit and the No. 4 engine struck a steam roller. The aircraft burst into flames. Malfunction of the No. 2 engine reverse thruster. The malfunction allowed in the development of forward thrust by No. 2 engine even though all four levers were in the reverse position.
7/9/1964,18:15,"Parrottsville, Tennesee",United Air Lines,823,Philidelphia - Washington - Knoxville - Huntsville,Vickers Viscount 745D,N7405,103,39,39,1809,0,"The plane crashed 2 miles northeast of Parrottsville after experiencing an uncontrollable fire of unknown origin which started below the passenger floor and eventually involved the passenger cabin. One passenger died after free-falling out of the No. 4 emergency escape window of the plane in an attempt to escape the onboard fire. The ignition source was never determined, but it is thought the plane's battery or something in a passenger's luggage caused the fire.  Testing revealed lethal amounts of CO2 could be discharged into the cockpit instead of the lower baggage compartment. The plane was seen flying erratically and the fire eventually burned through the controls.  It is likely the crew was unconscious by then."
1/13/1965,12:25,"Fairbanks, Alaska",Fairbanks Air Service - Taxi,,,Cessna 180E,N8689X,,2,2,1811,0,Crashed while en-route. VFR flight into adverse weather conditions.
7/1/1965,5:29,"Kansas City, Missouri",Continental Airlines,12,"Los Angeles - Kansas City, MO",Boeing B-707-124,N70773,17609/25,66,0,1811,0,The aircraft slid off the end of the runway while landing and broke in two. Hydroplaning of the landing gear wheels which led to braking ineffectiveness.
8/16/1965,20:21,"Lake Michigan, near Chicago, Illinois",United Air Lines,389,New York City - Chicago,Boeing B-727-22,N7036U,18328/146,30,30,1841,0,"The plane crashed into Lake Michigan 19.5 miles east of Lake Forest, Illinois during  an approach and while descending from FL 350. The aircraft made a continuous descent at an average rate of approximately 2,000 feet per minute from 35,000 feet to impact with the water in a clean flight configuration. Officially, a cause could not be determined. The aircraft was dispatched illegally without an operating CVR. Possible misread altimeter. The crew could have read the altimeter as 16,000 instead of  6,000 ft. and continued a descent below what they were cleared for. Possible excessive sink rate. Excessive sink rate is thought to have possibly caused four 727 accidents in succession. Lake Michigan 8/16/65, Cincinnati 11/8/65, Salt Lake City 11/11/65 and Tokyo Bay 2/4/66. Only the Salt Lake and Cincinnati crashes were officially attributed to it. After 727 training manuals were modified and pilots were reoriented to the flying characteristics of the aircraft the problem was corrected."
11/8/1965,19:02,"Cincinnati Airport, near Covington, Kentucky",American Airlines,383,New York City - Cincinnati,Boeing B-727-23,N1996,18901/153,62,58,1899,0,"The aircraft crashed short of runway during a visual approach in deteriorating weather conditions. Failure of the flight crew to properly monitor the aircraft's height during the approach into deteriorating weather conditions resulting in an excessive sink rate. Excessive sink rate is thought to have caused four 727 accidents in succession.  Lake Michigan 8/16/65, Cincinnati 11/8/65, Salt Lake City 11/11/65 and Tokyo Bay 2/4/66. Only the Salt Lake and Cincinnati crashes were officially attributed to it. After 727 training manuals were modified and pilots were reoriented to the flying characteristics of the aircraft the problem was corrected."
11/11/1965,17:52,"Salt Lake City, Utah",United Air Lines,227,Denver - Salt Lake City,Boeing B-727-22,N7030U,18322/130,91,43,1942,0,"The aircraft crashed short of the runway and collided with runway lights, 335 feet short of the runway, causing the main landing gear to fail followed by a fire. Too high of a descent rate during approach. Failure of the captain to take  timely action to arrest an excessive descent rate during the landing approach. Excessive sink rate is thought to have caused four 727 accidents in succession. Lake Michigan 8/16/65, Cincinnati 11/8/65, Salt Lake City 11/11/65 and Tokyo Bay 2/4/66. Only the Salt Lake and Cincinnati crashes were officially attributed to it. After 727 training manuals were modified and pilots were reoriented to the flying characteristics of the aircraft the problem was corrected. Bill Linderman, 45, champion rodeo cowboy killled."
7/11/1966,20:50,"Hideaway Park, Colorado",Alamo Airways,,,de Havilland 104-6A,N1563V,,3,3,1945,0,Struck mountain slope while in level flight. VFR flight into adverse weather conditions.
4/22/1966,20:30,"Near Ardmore, Oklahoma",American Flyers Airline,280D,Monterey - Ardmore,Lockheed 188C Electra,N183H,1136,98,83,2028,0,"The aircraft crashed into foothills during landing attempt at Ardmore Municipal Airport . During the approach in rain and fog, the captain made a last-minute change in his choice of runways. One minute later the plane crashed into high ground. Incapacitation of the captain with a heart attack during final stages of approach.  The captain, who suffered from a long standing heart condition and diabetes, managed to keep his pilot's license by falsifying his medical records."
8/21/1966,10:35,"Near Juneau, Alaska",Alaska Coastal Airlines,,,Grumman G-21 Goose,N88820,1114,9,9,2037,0,Crashed into a glacial crevasse. Undetermined cause.
3/30/1967,0:45,"New Orleans, Louisiana",Delta Air Lines,9877,New Orleans AP - New Orleans AP,McDonnell Douglas DC-8-51,N802E,45409/19,6,6,2043,13,Crashed into hotel during training flight. Improper supervision by the instructor and the improper use of flight and power controls by both instructor and the captain-trainee during a simulated two-engine out landing approach.
11/6/1967,18:41,"Cincinnati, Ohio",Trans World Airlines,159,Cincinnati - Los Angeles,Boeing B-707-131,N742TW,17669/43,36,1,2044,0,"While on the takeoff roll a loud bang was heard as the aircraft passed a Delta plane and the takeoff was aborted. The aircraft overran the runway and crashed and burned. The inability of the TWA crew to abort successfully their takeoff at the speed attained prior to the attempted abort. The abort was understandably initiated because of the first officer's belief that his plane had collided with a Delta aircraft stopped just off the runway. A contributing factor was the action of the Delta crew in advising the tower that their plane was clear of the runway without carefully ascertaining the facts, and when in fact their aircraft was not a safe distance under the circumstances of another aircraft taking off on that runway."
11/20/1967,20:57,"Cincinnati International Airport, Covington/Hebron, Kentucky",Trans World Airlines,128,Los Angeles - Cincinnati,Convair CV-880-22-1,N821TW,22-00-27,82,70,2114,0,The aircraft struck a tree short of the runway during an approach in snow. Procedural errors by the crew during the approach in adverse weather. The visual approach conducted at night and in deteriorating weather conditions without adequate altimeter cross-reference. The approach was conducted using visual reference to partially lighted irregular terrain which may have been conducive to producing an illusionary sense of adequate terrain clearance.
12/21/1967,16:00,"Denver, Colorado",Frontier Airlines,,"Denver, CO - Scottsbluff, NE",Douglas C-47A,N65276,19202,2,2,2116,0,The cargo plane crashed on takeoff. The failure of the crew to perform a pre-takeoff control check resulting in takeoff with the elevators immobilized by a control batten.
5/22/1968,16:51,"Paramount, California",Los Angeles Airways,841,Anaheim - LAX,Sikorsky S-61L helicopter,N303Y,,23,23,2139,0,The helicopter suddenly descended to the ground with an erratiaction of the main rotor blades and burst into flames. A faulty main rotor blade damper caused one of the rotor blades to detach for reasons undetermined and strike the fuselage.
6/1/1968,13:45,"Vidalia, Georgia",Houston-Beech - Air Taxi,,,Cessna 411,N7395U,,4,3,2142,0,Engine failure on takeoff. Pilot failed to follow proper emergency procedures. Cause of engine failure unknown.
8/14/1968,9:35,"Compton, California",Los Angeles Airways,417,,Sikorsky S-61L helicopter,N300Y,,21,21,2163,0,The main rotor blade of the helicopter separated from the central hub. The aircraft spun to destruction as the tail cone sheared off. Metallurgical fault during manufacture of the main rotor blade spindle. Fatigue origin in area of substandard hardness and inadequate shot peening on main rotor blade spindle.
10/25/1968,17:17,"Hanover, New Hampshire",Northeast Airlines,946,"Boston, MA - Montpelier, VT - Lebanon, NH",Fairchild-Hiller FH227C,N380NE,517,42,32,2195,0,The aircraft crashed into Moose Mountain during an approach. Execution of a non-standard approach.  Premature descent. The crew was not able to determine accurately its position because they had performed a non-standard instrument approach and there were no supplement navigational aids available for their use.
12/27/1968,20:22,"Chicago, Illinois",North Central Airlines,458,Minneapolis - Chicago - Milwaukee,Convair CV-580,N2045,369,45,27,2222,1,"The aircraft crashed during an instrument approach after a go-around, nearly inverted, into a hangar. Spacial disorientation of the crew precipitated by refraction of the landing or approach lights during transition from flying IFR to visual reference to the ground."
1/18/1969,18:21,"Off Los Angeles, California",United Air Lines,266,Los Angeles - Denver - Milwaukee,Boeing B-727-22QC,N7434U,19891/631,38,38,2260,0,"The aircraft crashed into Santa Monica Bay shortly after a night takeoff in poor weather and visibility. The crew reported a fire warning in  the No. 1 engine and shut it down. After initiating a turn, the aircraft crashed into the water at high speed. The aircraft was dispatched with one generator inoperative. While this was legal, United was required to repair the generator at the first airport where there were repair facilities. The aircraft flew for a total of 41 hours with the inoperative generator passing through airports that had the facilities to repair the generator. Shutting  down the engine took the second generator offline leaving just one generator which became overloaded causing it to trip, resulting in the loss of all electrical power in the aircraft. For reasons undetermined, the battery standby switch was not turned on. At night, in rain, with no lights or instruments, the captain became disoriented and crashed into the PacifiOcean, 11.5 miles west of Los Angeles International Airport, four minutes after its initial takeoff roll. Battery backup for instruments was not required at the time. This crash prompted the FAA to require all transport category aircraft to have a standby attitude indicator which is powered by an independent source. False fire warning which prompted the shutting down of the No. 1 engine. Failure of the crew to unpower the heavy electrical loads before shutting down the No. 1 engine. Failure of UAL to repair the No. 3 generator in a timely manner."
7/15/1969,6:57,"New York City, New York",New York Airways,,New York - Newark,de Havilland Canada DHC-6 Twin Otter 200,N558MA,175,14,3,2263,0,The plane flew into wake turbulence and crashed.  The pilot was 12 minutes behind schedule and made an intersection takeoff. The tower warned him of wake turbulence from a recently departing jet.
7/26/1969,12:33,"AtlantiCity, New Jersey",Trans World Airlines,,Training,Boeing 707-331C,N787TW,18712/373,5,5,2268,0,"Crashed during a missed approach procedure. A loss of directional control, which resulted from the intentional shutdown of the pumps supplying hydraulipressure to the rudder without a concurrent restoration of power on the No.4 engine. A contributing factor was the inadequacy of the hydraulifluid loss emergency procedure when applied against the operating configuration of the aircraft."
9/17/1969,17:09,"Campbell River, Canada",PacifiWestern Airlines,627,Vancouver - Campbell River,Convair CV-640,CF-PWR,440,15,4,2272,0,Crashed into a hill  while attempting to land in inclement weather. Non-compliance with the instrument approach procedures. Pilot error.
3/26/1970,19:53,"Colorado City, Arizona",Grand Canyon Airlines,,Grand Canyon - Las Vegas,Piper PA-32,N4121R,,6,6,2278,0,"Flew into thunderstorms and turbulence, crashed while en route. Continued VFR flight into adverse weather conditions. Spatial disorientation."
9/22/1970,8:25,"Cranbrook, Canada",Eagle Flight - Air Taxi,,"Portland, OR - Cranbrook, Canada",Cessna T337B,N2346S,,4,4,2282,0,Descended below minimum approach altitude for unknown reasons.
10/16/1970,16:49,"New Castle, Delaware",Delaware Aviation - Air Taxi,,"Teleboro, NJ  - Wilmington, DE",Piper PA-28R,N7667J,,2,2,2284,0,"Pilot received landing clearance then was observed in climbs, dives and turns below traffipattern before crashing. Undetermined cause."
11/14/1970,19:36,"Near Huntington, West Virginia",Southern Airways,932,"Kingston, NC - Huntington, WV",McDonnell Douglas DC-9-31,N97S,47245/510,75,75,2359,0,"While on approach, the aircraft crashed one mile short of Runway 11 at Tri-State Airport in rain and fog. Thirty-six players and 5 coaches on the Marshall University football team were among those killed. Improper procedures executed by the crew. Descent below Minimum Descent Altitude during a nonprecision approach under adverse operating conditions, without visual contact with the runway environment. The reason for this descent was not able to be determined, although the two most likely explanations are ( a ) improper use of cockpit instrumentation data, or (b) an altimetry system error ."
1/9/1971,16:20,"Edison, New Jersey",American Airlines / Private,30,"San Francisco, CA - Newark, NJ",Boeing B-707-323 / Cessna 150,N7595A/N60942,19345 / ,21,2,2361,0,"Midair collision at 3,000 ft.  Failed to see and avoid other aircraft. The Boeing 707 landed safely. Two killed on the Cessna.  System permitted VFR operation in congested area in reduced visibility."
9/4/1971,11:15,"Near Juneau, Alaska",Alaska Airlines,1866,Anchorage - Seattle,Boeing B-727-193,N2969G,19304/287,111,111,2472,0,The aircraft crashed into the slopes of Chikat Mountain in rain and fog while attempting a non-precision instrument landing at Juneau Municipal Airport. Display of misleading navigation information which resulted in the premature descent below obstacle clearance altitude. The crew didn't use all available navaids to check the position of the aircraft.
10/21/1971,11:20,"Peoria, Illinois",Chicago Southern Airlines,,"Chicago, IL - Peoria, IL",Beech E18S,N51CS,BA-211,16,16,2488,0,Collided with wires/poles while attempting to land. Improper IFR operation. Descended below MDA.
2/22/1972,7:05,"Molokai, Hawaii",Alii Air Hawaii - Air Taxi,,"Honolulu, HI - Lanai, HI",Beechcraft D 18S,N5642V,,8,8,2496,0,Flew into thunderstorm activity and crashed into ocean for reasons unknown. Continued VFR flight into adverse weather conditions.
5/30/1972,6:24,"Dallas/Ft. Worth, Texas",Delta Air Lines,9570,Training,McDonnell Douglas DC-9-14,N3305L,45700,4,4,2500,0,While practicing touch and go landing the aircraft crashed after getting caught in the wake turbulence of a DC-10. An encounter with a trailing vortex generated by a preceding 'heavy' jet which resulted in an involuntary loss of control of the airplane during final approach. Although cautioned to expect turbulence the crew did not have sufficient information to evaluate accurately the hazard or the possible location of the vortex. Existing FAA procedures for controlling VFR flight did not provide the same protection from a vortex encounter as was provided to flights being given radar vectors in either IFR or VFR conditions.
6/1/1972,11:05,"Valdez, Alaska",Fairbanks Air - Air Taxi,,"Fairbanks, AK - Valdez, AK",Cessna U206C,N3990G,,2,2,2502,0,Flew into mountain pass in fog. Wing caught ground in turnaround. Continued VFR flight into adverse weather conditions.
6/29/1972,9:37,"Appleton, Wisconsin",North Central Airlines / Air Wisconsin,290 / 671,"Chicago, IL - Appleton, WI - Sheboygan, WI",Convair CV-580/De Hav. Twin Otter 100,N90858/N4043B,083 / 013,13,13,2515,0,Both aircraft were proceeding under VFR getting ready to land when there was a midair collision. Both aircraft crashed into Lake Winnebago and sank. The failure of both flightcrews to detect visually the other aircraft in sufficient time to initiate evasive action.
7/5/1972,,"San Francisco, California",PacifiSouthwest Airlines,710,Sacramento - San Francisco,Boeing 737-200,,,86,3,2518,0,Two hijackers and one passenger killed.
12/8/1972,14:28,"Chicago, Midway Airport, Illinois",United Air Lines,553,Washington - Chicago,Boeing B-737-222,N9031U,19069/75,61,43,2561,2,"The aircraft crashed while making a nonprecision instrument approach to Runway 31L. The accident occurred in a residential area approximately 1.5 miles southeast of the approach end of Runway 31L. Upon reaching mimimum descent altitude, the pilot raised the nose of the aircraft to stop the descent. The stall warning horn sounded and continued to sound until the plane crashed 17 seconds later. The aircraft was destroyed by impact and subsequent fire. The captain's failure to exercise positive flight management during the execution of a non-precision approach, which culminated in a critical deterioration of airspeed resulting in a stall from which level flight could no longer be maintained. U.S. Representative from Illinois George Collins killed. Wife of  Watergates E. Howard Hunt, Dorothy Hunt, also killed."
12/20/1972,18:00,"Chicago, Illinois",Delta Air Lines/ North Central Airlines,954/575,Tampa - Chicago / Chicago - Madison,Convair CV-880 / McDonnell DC-9-31,N8897E/N954N,22-00-29 / 47159/231,133,10,2571,0,"The Delta Convair, taxing across Runway 27L, after landing in heavy fog, was hit by the North Central DC-9 as it took off, shearing off its tail. The DC-9 came crashing back down on the runway and caught fire. Ten people out of 45 aboard the DC-9 were killed. None of the 88 aboard the Convair were killed. The ATC gave ambiguous instructions to the Delta crew, did not use all available information to determine the location of the CV-880 and the CV-880 crew did not request clarification of the controller's instructions."
